frame,timestamp_s,observed_timestamp_s,observed_x_px,estimated_velocity_pxps,fixed_processing_delay_s,flight_time_s
78,1.3,1.24,407.49412,72.98427,0.06,0.045
79,1.316667,1.256667,408.04159,68.75693,0.06,0.045
80,1.333333,1.273333,410.4897,67.17137,0.06,0.045
81,1.35,1.29,408.62671,67.74981,0.06,0.045
82,1.366667,1.306667,411.70437,70.29634,0.06,0.045
83,1.383333,1.323333,412.3401,64.77455,0.06,0.045
84,1.4,1.34,412.37028,64.27894,0.06,0.045
85,1.416667,1.356667,414.87341,72.34921,0.06,0.045
86,1.433333,1.373333,416.54915,69.72582,0.06,0.045
87,1.45,1.39,415.62976,69.45065,0.06,0.085
88,1.466667,1.406667,418.95739,69.52602,0.06,0.045
89,1.483333,1.423333,419.48997,68.45128,0.06,0.045
90,1.5,1.44,419.20012,71.59291,0.06,0.045
91,1.516667,1.456667,422.18372,68.98891,0.06,0.045
92,1.533333,1.473333,423.12686,67.72917,0.06,0.045
93,1.55,1.49,421.5055,76.35714,0.06,0.045
94,1.566667,1.506667,425.7496,68.71023,0.06,0.045
95,1.583333,1.523333,426.93665,70.02911,0.06,0.045
96,1.6,1.54,427.86468,68.9023,0.06,0.045
97,1.616667,1.556667,429.44087,62.91429,0.06,0.045
98,1.633333,1.573333,431.29499,61.43801,0.06,0.045
99,1.65,1.59,429.79916,64.45513,0.06,0.045
100,1.666667,1.606667,430.74781,68.41876,0.06,0.045
101,1.683333,1.623333,435.00788,72.14597,0.06,0.045
102,1.7,1.64,435.98724,69.75903,0.06,0.045
103,1.716667,1.656667,435.8015,67.55402,0.06,0.045
104,1.733333,1.673333,435.64469,70.57494,0.06,0.045
105,1.75,1.69,438.42902,66.49676,0.06,0.045
106,1.766667,1.706667,438.70284,70.50614,0.06,0.045
107,1.783333,1.723333,438.11847,65.56745,0.06,0.045
108,1.8,1.74,440.46701,73.83608,0.06,0.045
109,1.816667,1.756667,442.22463,69.07917,0.06,0.045
110,1.833333,1.773333,443.85968,67.39618,0.06,0.045
111,1.85,1.79,442.3993,61.59634,0.06,0.045
112,1.866667,1.806667,445.84447,75.57166,0.06,0.045
113,1.883333,1.823333,446.71274,74.86389,0.06,0.045
114,1.9,1.84,449.30969,74.39744,0.06,0.045
115,1.916667,1.856667,450.1476,67.29652,0.06,0.045
116,1.933333,1.873333,450.60879,72.26484,0.06,0.085
117,1.95,1.89,453.27562,74.99177,0.06,0.045
118,1.966667,1.906667,454.18437,65.73152,0.06,0.045
119,1.983333,1.923333,453.67088,71.11063,0.06,0.045
120,2.0,1.94,455.99228,79.53454,0.06,0.045
121,2.016667,1.956667,455.1653,70.76424,0.06,0.045
122,2.033333,1.973333,457.999,72.42491,0.06,0.045
123,2.05,1.99,460.30344,70.19398,0.06,0.045
124,2.066667,2.006667,459.19463,72.3648,0.06,0.045
125,2.083333,2.023333,460.26661,65.89476,0.06,0.045
126,2.1,2.04,464.34189,64.95992,0.06,0.045
127,2.116667,2.056667,463.13088,63.32813,0.06,0.045
128,2.133333,2.073333,463.82225,68.82418,0.06,0.045
129,2.15,2.09,468.4882,65.69869,0.06,0.045
130,2.166667,2.106667,465.64793,75.28103,0.06,0.045
131,2.183333,2.123333,466.82301,72.85841,0.06,0.045
132,2.2,2.14,471.39421,70.81391,0.06,0.045
133,2.216667,2.156667,472.18486,68.5899,0.06,0.045
134,2.233333,2.173333,473.38021,65.61233,0.06,0.045
135,2.25,2.19,473.77479,70.2043,0.06,0.045
136,2.266667,2.206667,472.91459,79.32689,0.06,0.045
137,2.283333,2.223333,474.73984,65.49762,0.06,0.045
138,2.3,2.24,477.51005,67.13761,0.06,0.045
139,2.316667,2.256667,478.75824,73.45314,0.06,0.045
140,2.333333,2.273333,479.73801,68.68582,0.06,0.045
141,2.35,2.29,479.29959,70.1507,0.06,0.045
142,2.366667,2.306667,481.13681,71.37643,0.06,0.045
143,2.383333,2.323333,483.40369,68.30707,0.06,0.045
144,2.4,2.34,483.97993,67.6087,0.06,0.045
145,2.416667,2.356667,484.7279,70.39662,0.06,0.085
146,2.433333,2.373333,484.91615,67.48027,0.06,0.045
147,2.45,2.39,486.57032,71.11374,0.06,0.045
148,2.466667,2.406667,488.25794,69.17761,0.06,0.045
149,2.483333,2.423333,490.8926,68.13297,0.06,0.045
150,2.5,2.44,489.83318,67.30014,0.06,0.045
151,2.516667,2.456667,492.2602,70.13499,0.06,0.045
152,2.533333,2.473333,492.92211,65.43525,0.06,0.045
153,2.55,2.49,494.04028,74.89295,0.06,0.045
154,2.566667,2.506667,496.4545,66.5404,0.06,0.045
155,2.583333,2.523333,495.05395,69.39157,0.06,0.045
156,2.6,2.54,498.01293,69.27752,0.06,0.045
157,2.616667,2.556667,498.15154,65.51659,0.06,0.045
158,2.633333,2.573333,499.98185,67.65265,0.06,0.045
159,2.65,2.59,502.31223,63.74622,0.06,0.045
160,2.666667,2.606667,501.96709,79.58554,0.06,0.045
161,2.683333,2.623333,505.0587,71.6287,0.06,0.045
162,2.7,2.64,505.46395,71.33704,0.06,0.045
163,2.716667,2.656667,504.7563,65.22159,0.06,0.045
164,2.733333,2.673333,506.24099,70.38979,0.06,0.045
165,2.75,2.69,507.04292,68.78234,0.06,0.045
166,2.766667,2.706667,508.54871,72.74581,0.06,0.045
167,2.783333,2.723333,509.51274,70.90565,0.06,0.045
168,2.8,2.74,512.81067,73.2608,0.06,0.045
169,2.816667,2.756667,512.51655,76.93851,0.06,0.045
170,2.833333,2.773333,516.04094,68.17317,0.06,0.045
171,2.85,2.79,514.64361,73.9914,0.06,0.045
172,2.866667,2.806667,516.40712,67.12161,0.06,0.045
173,2.883333,2.823333,517.74339,68.85611,0.06,0.045
174,2.9,2.84,520.29981,68.97175,0.06,0.085
175,2.916667,2.856667,520.20541,64.64028,0.06,0.045
176,2.933333,2.873333,521.86737,66.59165,0.06,0.045
177,2.95,2.89,522.98525,71.47037,0.06,0.045
178,2.966667,2.906667,523.38116,58.52981,0.06,0.045
179,2.983333,2.923333,524.82381,74.57666,0.06,0.045
180,3.0,2.88,521.79688,66.65245,0.12,0.045
181,3.016667,2.896667,522.95191,76.77134,0.12,0.045
182,3.033333,2.913333,524.73643,72.41178,0.12,0.045
183,3.05,2.93,523.93479,67.37511,0.12,0.045
184,3.066667,2.946667,527.57581,68.54661,0.12,0.045
185,3.083333,2.963333,526.7829,71.39218,0.12,0.045
186,3.1,2.98,528.75551,68.83006,0.12,0.045
187,3.116667,2.996667,530.90545,70.38288,0.12,0.045
188,3.133333,3.013333,531.24386,67.11284,0.12,0.045
189,3.15,3.03,531.5863,70.34936,0.12,0.045
190,3.166667,3.046667,532.73748,79.3108,0.12,0.045
191,3.183333,3.063333,534.77573,68.61391,0.12,0.045
192,3.2,3.08,536.89651,68.75482,0.12,0.045
193,3.216667,3.096667,537.52285,72.88037,0.12,0.045
194,3.233333,3.113333,538.67501,69.39315,0.12,0.045
195,3.25,3.13,539.3145,60.64497,0.12,0.045
196,3.266667,3.146667,542.00205,66.59226,0.12,0.045
197,3.283333,3.163333,541.95826,69.08595,0.12,0.045
198,3.3,3.18,541.5586,60.3579,0.12,0.045
199,3.316667,3.196667,543.55774,69.90464,0.12,0.045
200,3.333333,3.213333,544.61061,74.18464,0.12,0.045
201,3.35,3.23,544.45644,73.34767,0.12,0.045
202,3.366667,3.246667,547.33048,70.40964,0.12,0.045
203,3.383333,3.263333,546.49073,60.05506,0.12,0.085
204,3.4,3.28,547.79615,70.62658,0.12,0.045
205,3.416667,3.296667,550.32233,64.22134,0.12,0.045
206,3.433333,3.313333,552.01482,69.04753,0.12,0.045
207,3.45,3.33,552.72846,65.90426,0.12,0.045
208,3.466667,3.346667,552.63238,74.72244,0.12,0.045
209,3.483333,3.363333,557.28724,76.53895,0.12,0.045
210,3.5,3.38,557.46391,62.98475,0.12,0.045
211,3.516667,3.396667,558.50239,68.63405,0.12,0.045
212,3.533333,3.413333,556.77031,65.18457,0.12,0.045
213,3.55,3.43,558.35217,68.36773,0.12,0.045
214,3.566667,3.446667,562.67681,73.62628,0.12,0.045
215,3.583333,3.463333,563.85321,70.77461,0.12,0.045
216,3.6,3.48,564.6145,70.58907,0.12,0.045
217,3.616667,3.496667,565.50937,72.04073,0.12,0.045
218,3.633333,3.513333,567.1855,74.38585,0.12,0.045
219,3.65,3.53,565.06059,68.83022,0.12,0.045
220,3.666667,3.546667,568.97086,64.16309,0.12,0.045
221,3.683333,3.563333,568.27267,67.05866,0.12,0.045
222,3.7,3.58,570.76337,65.78214,0.12,0.045
223,3.716667,3.596667,570.88427,72.74923,0.12,0.045
224,3.733333,3.613333,573.74512,70.4272,0.12,0.045
225,3.75,3.63,573.23691,67.22882,0.12,0.045
226,3.766667,3.646667,574.78479,70.79664,0.12,0.045
227,3.783333,3.663333,577.82781,76.70012,0.12,0.045
228,3.8,3.68,577.95165,66.42075,0.12,0.045
229,3.816667,3.696667,580.11381,67.36261,0.12,0.045
230,3.833333,3.713333,579.92762,67.69295,0.12,0.045
231,3.85,3.73,582.36992,68.82158,0.12,0.045
232,3.866667,3.746667,582.55553,71.13338,0.12,0.085
233,3.883333,3.763333,583.48332,70.06993,0.12,0.045
234,3.9,3.78,584.9579,62.98581,0.12,0.045
235,3.916667,3.796667,585.6525,73.32297,0.12,0.045
236,3.933333,3.813333,587.67718,68.47975,0.12,0.045
237,3.95,3.83,589.91344,65.64462,0.12,0.045
238,3.966667,3.846667,588.14986,72.38381,0.12,0.045
239,3.983333,3.863333,589.49876,72.1414,0.12,0.045
240,4.0,3.88,591.08254,-60.77476,0.12,0.045
241,4.016667,3.896667,593.37327,-55.08289,0.12,0.045
242,4.033333,3.913333,593.40128,-50.42357,0.12,0.045
243,4.05,3.93,596.05984,-67.11268,0.12,0.045
244,4.066667,3.946667,596.49491,-56.60955,0.12,0.045
245,4.083333,3.963333,597.50085,-57.79467,0.12,0.045
246,4.1,3.98,598.17112,-54.33992,0.12,0.045
247,4.116667,3.996667,601.01822,-54.27529,0.12,0.045
248,4.133333,4.013333,599.98271,-57.29483,0.12,0.045
249,4.15,4.03,600.15785,-53.9004,0.12,0.045
250,4.166667,4.046667,597.34063,-53.33603,0.12,0.045
251,4.183333,4.063333,597.24315,-47.07987,0.12,0.045
252,4.2,4.08,596.74215,-57.74327,0.12,0.045
253,4.216667,4.096667,592.86544,-54.07676,0.12,0.045
254,4.233333,4.113333,593.11283,-51.71096,0.12,0.045
255,4.25,4.13,593.18773,-60.82197,0.12,0.045
256,4.266667,4.146667,593.12062,-58.36954,0.12,0.045
257,4.283333,4.163333,592.06783,-61.73674,0.12,0.045
258,4.3,4.18,590.24009,-49.29609,0.12,0.045
259,4.316667,4.196667,588.51636,-55.81204,0.12,0.045
260,4.333333,4.213333,588.49247,-51.08561,0.12,0.045
261,4.35,4.23,587.64799,-55.34563,0.12,0.085
262,4.366667,4.246667,589.29256,-57.21267,0.12,0.045
263,4.383333,4.263333,584.13923,-51.79341,0.12,0.045
264,4.4,4.28,584.48454,-53.88678,0.12,0.045
265,4.416667,4.296667,585.61125,-54.18166,0.12,0.045
266,4.433333,4.313333,582.95436,-50.27181,0.12,0.045
267,4.45,4.33,581.81211,-54.45528,0.12,0.045
268,4.466667,4.346667,579.89404,-52.21928,0.12,0.045
269,4.483333,4.363333,581.41879,-56.13717,0.12,0.045
270,4.5,4.38,580.29462,-55.73162,0.12,0.045
271,4.516667,4.396667,578.98519,-59.01959,0.12,0.045
272,4.533333,4.413333,579.9373,-53.71593,0.12,0.045
273,4.55,4.43,575.74524,-59.84746,0.12,0.045
274,4.566667,4.446667,575.28934,-54.79801,0.12,0.045
275,4.583333,4.463333,574.79739,-55.95857,0.12,0.045
276,4.6,4.48,575.21873,-50.6662,0.12,0.045
277,4.616667,4.496667,572.38192,-51.50787,0.12,0.045
278,4.633333,4.513333,571.57202,-50.56021,0.12,0.045
279,4.65,4.53,571.11049,-58.49064,0.12,0.045
280,4.666667,4.546667,570.96868,-51.29873,0.12,0.045
281,4.683333,4.563333,567.47809,-48.23556,0.12,0.045
282,4.7,4.58,569.25489,-53.4075,0.12,0.045
283,4.716667,4.596667,565.24916,-51.61614,0.12,0.045
284,4.733333,4.613333,567.07972,-48.46755,0.12,0.045
285,4.75,4.63,563.20864,-57.38788,0.12,0.045
286,4.766667,4.646667,564.92707,-59.43172,0.12,0.045
287,4.783333,4.663333,563.40055,-57.11968,0.12,0.045
288,4.8,4.68,562.62193,-57.76089,0.12,0.045
289,4.816667,4.696667,561.0094,-55.87493,0.12,0.045
290,4.833333,4.713333,561.91677,-56.311,0.12,0.085
291,4.85,4.73,559.05571,-58.95669,0.12,0.045
292,4.866667,4.746667,558.64049,-57.44342,0.12,0.045
293,4.883333,4.763333,558.18826,-58.92903,0.12,0.045
294,4.9,4.78,555.35022,-62.22741,0.12,0.045
295,4.916667,4.796667,555.0767,-60.60876,0.12,0.045
296,4.933333,4.813333,553.91305,-54.69553,0.12,0.045
297,4.95,4.83,555.50716,-57.34846,0.12,0.045
298,4.966667,4.846667,554.4412,-54.17022,0.12,0.045
299,4.983333,4.863333,552.29964,-54.8927,0.12,0.045
300,5.0,4.88,552.8711,-51.99693,0.12,0.045
301,5.016667,4.896667,552.00989,-46.54018,0.12,0.045
302,5.033333,4.913333,550.51201,-52.64661,0.12,0.045
303,5.05,4.93,549.83074,-52.82102,0.12,0.045
304,5.066667,4.946667,549.5824,-54.67357,0.12,0.045
305,5.083333,4.963333,547.392,-53.52149,0.12,0.045
306,5.1,4.98,545.74485,-53.43002,0.12,0.045
307,5.116667,4.996667,545.1513,-45.48616,0.12,0.045
308,5.133333,5.013333,543.49199,-49.35963,0.12,0.045
309,5.15,5.03,542.35978,-59.98776,0.12,0.045
310,5.166667,5.046667,541.19266,-53.7785,0.12,0.045
311,5.183333,5.063333,541.12114,-56.80151,0.12,0.045
312,5.2,5.08,541.14467,-54.4738,0.12,0.045
313,5.216667,5.096667,541.00673,-54.26963,0.12,0.045
314,5.233333,5.113333,539.87208,-52.62305,0.12,0.045
315,5.25,5.13,537.04978,-56.29703,0.12,0.045
316,5.266667,5.146667,536.28335,-59.25694,0.12,0.045
317,5.283333,5.163333,535.4173,-50.54024,0.12,0.045
318,5.3,5.18,536.57755,-53.94729,0.12,0.045
319,5.316667,5.196667,535.56252,-46.43213,0.12,0.085
320,5.333333,5.213333,531.88146,-56.63863,0.12,0.045
321,5.35,5.23,532.45784,-53.40018,0.12,0.045
322,5.366667,5.246667,532.04236,-51.89466,0.12,0.045
323,5.383333,5.263333,531.65532,-47.56465,0.12,0.045
324,5.4,5.28,529.22406,-50.98885,0.12,0.045
325,5.416667,5.296667,527.83037,-52.42959,0.12,0.045
326,5.433333,5.313333,528.55694,-49.53743,0.12,0.045
327,5.45,5.33,527.63308,-59.47209,0.12,0.045
328,5.466667,5.346667,526.16634,-48.19463,0.12,0.045
329,5.483333,5.363333,526.80841,-53.68792,0.12,0.045
330,5.5,5.38,523.37905,-53.98758,0.12,0.045
331,5.516667,5.396667,523.64717,-55.21075,0.12,0.045
332,5.533333,5.413333,521.51125,-49.69031,0.12,0.045
333,5.55,5.43,523.30583,-53.13169,0.12,0.045
334,5.566667,5.446667,521.18076,-54.98201,0.12,0.045
335,5.583333,5.463333,519.76773,-55.83,0.12,0.045
336,5.6,5.48,519.08462,-56.74147,0.12,0.045
337,5.616667,5.496667,516.93462,-52.73081,0.12,0.045
338,5.633333,5.513333,515.78334,-59.61184,0.12,0.045
339,5.65,5.53,516.29989,-52.26807,0.12,0.045
340,5.666667,5.546667,512.29284,-54.40835,0.12,0.045
341,5.683333,5.563333,512.29326,-54.23231,0.12,0.045
342,5.7,5.58,513.72444,-60.64688,0.12,0.045
343,5.716667,5.596667,512.87829,-58.15705,0.12,0.045
344,5.733333,5.613333,511.19887,-56.81127,0.12,0.045
345,5.75,5.63,510.46892,-53.61617,0.12,0.045
346,5.766667,5.646667,509.88519,-56.95949,0.12,0.045
347,5.783333,5.663333,507.45887,-54.36137,0.12,0.045
348,5.8,5.68,507.48,-52.90219,0.12,0.085
349,5.816667,5.696667,505.38872,-53.22932,0.12,0.045
350,5.833333,5.713333,503.9908,-56.08519,0.12,0.045
351,5.85,5.73,505.90944,-58.47388,0.12,0.045
352,5.866667,5.746667,503.21691,-55.74137,0.12,0.045
353,5.883333,5.763333,502.28316,-52.60119,0.12,0.045
354,5.9,5.78,501.92343,-56.9903,0.12,0.045
355,5.916667,5.796667,500.32556,-54.51645,0.12,0.045
356,5.933333,5.813333,500.84648,-56.55105,0.12,0.045
357,5.95,5.83,498.41444,-56.57634,0.12,0.045
358,5.966667,5.846667,498.22219,-55.49932,0.12,0.045
359,5.983333,5.863333,497.68459,-58.24449,0.12,0.045
360,6.0,5.82,498.61692,-51.74636,0.18,0.045
361,6.016667,5.836667,500.38264,-57.17495,0.18,0.045
362,6.033333,5.853333,497.55856,-55.25714,0.18,0.045
363,6.05,5.87,497.53752,-52.84525,0.18,0.045
364,6.066667,5.886667,496.37904,-55.62,0.18,0.045
365,6.083333,5.903333,495.72747,-58.33292,0.18,0.045
366,6.1,5.92,494.56138,-59.45366,0.18,0.045
367,6.116667,5.936667,494.5066,-57.01807,0.18,0.045
368,6.133333,5.953333,493.15354,-51.72674,0.18,0.045
369,6.15,5.97,491.08703,-56.25645,0.18,0.045
370,6.166667,5.986667,489.27995,-60.92596,0.18,0.045
371,6.183333,6.003333,493.15813,-54.62325,0.18,0.045
372,6.2,6.02,488.08256,-50.49251,0.18,0.045
373,6.216667,6.036667,489.49169,-57.50628,0.18,0.045
374,6.233333,6.053333,488.9002,-57.35325,0.18,0.045
375,6.25,6.07,487.74831,-59.32495,0.18,0.045
376,6.266667,6.086667,484.35696,-55.16812,0.18,0.045
377,6.283333,6.103333,482.83587,-60.76757,0.18,0.085
378,6.3,6.12,485.44148,-52.52867,0.18,0.045
379,6.316667,6.136667,481.77975,-53.5945,0.18,0.045
380,6.333333,6.153333,483.19107,-51.09169,0.18,0.045
381,6.35,6.17,480.35036,-54.51493,0.18,0.045
382,6.366667,6.186667,479.76457,-53.76277,0.18,0.045
383,6.383333,6.203333,478.68048,-52.67332,0.18,0.045
384,6.4,6.22,477.47565,-54.18723,0.18,0.045
385,6.416667,6.236667,478.77405,-54.63719,0.18,0.045
386,6.433333,6.253333,477.85902,-57.28913,0.18,0.045
387,6.45,6.27,477.35434,-47.88622,0.18,0.045
388,6.466667,6.286667,475.74155,-63.31287,0.18,0.045
389,6.483333,6.303333,472.22076,-51.7864,0.18,0.045
390,6.5,6.32,469.34821,-62.99062,0.18,0.045
391,6.516667,6.336667,472.48214,-56.21384,0.18,0.045
392,6.533333,6.353333,472.15722,-54.22827,0.18,0.045
393,6.55,6.37,469.65686,-56.53822,0.18,0.045
394,6.566667,6.386667,469.11967,-56.06401,0.18,0.045
395,6.583333,6.403333,467.02898,-61.49987,0.18,0.045
396,6.6,6.42,467.86102,-55.55512,0.18,0.045
397,6.616667,6.436667,465.4148,-55.01884,0.18,0.045
398,6.633333,6.453333,464.17227,-64.83898,0.18,0.045
399,6.65,6.47,464.33758,-55.28019,0.18,0.045
400,6.666667,6.486667,465.9643,-46.0124,0.18,0.045
401,6.683333,6.503333,464.1093,-57.71276,0.18,0.045
402,6.7,6.52,461.53244,-59.18816,0.18,0.045
403,6.716667,6.536667,458.67267,-61.25744,0.18,0.045
404,6.733333,6.553333,458.44161,-53.71074,0.18,0.045
405,6.75,6.57,458.38063,-50.69357,0.18,0.045
406,6.766667,6.586667,456.99618,-56.4773,0.18,0.085
407,6.783333,6.603333,457.34425,-52.76542,0.18,0.045
408,6.8,6.62,456.3872,-53.42578,0.18,0.045
409,6.816667,6.636667,453.17149,-51.90307,0.18,0.045
410,6.833333,6.653333,452.6372,-51.33137,0.18,0.045
411,6.85,6.67,451.6609,-54.97427,0.18,0.045
412,6.866667,6.686667,452.84654,-56.01612,0.18,0.045
413,6.883333,6.703333,450.7424,-57.75089,0.18,0.045
414,6.9,6.72,449.74324,-49.87602,0.18,0.045
415,6.916667,6.736667,449.77327,-55.05505,0.18,0.045
416,6.933333,6.753333,447.75108,-46.67679,0.18,0.045
417,6.95,6.77,448.17914,-50.94768,0.18,0.045
418,6.966667,6.786667,446.7934,-52.85556,0.18,0.045
419,6.983333,6.803333,445.09238,-62.82951,0.18,0.045
420,7.0,6.82,443.7451,-59.9983,0.18,0.045
421,7.016667,6.836667,443.38874,-47.38931,0.18,0.045
422,7.033333,6.853333,442.61,-52.58256,0.18,0.045
423,7.05,6.87,441.54072,-56.54349,0.18,0.045
424,7.066667,6.886667,441.82565,-58.52804,0.18,0.045
425,7.083333,6.903333,441.51105,-59.10504,0.18,0.045
426,7.1,6.92,440.11872,-55.44518,0.18,0.045
427,7.116667,6.936667,438.49026,-49.54673,0.18,0.045
428,7.133333,6.953333,437.6523,-49.87325,0.18,0.045
429,7.15,6.97,436.61138,-49.03834,0.18,0.045
430,7.166667,6.986667,436.4428,-63.48141,0.18,0.045
431,7.183333,7.003333,434.65393,-57.56158,0.18,0.045
432,7.2,7.02,433.87254,-46.13877,0.18,0.045
433,7.216667,7.036667,432.63109,-56.57198,0.18,0.045
434,7.233333,7.053333,431.57217,-57.883,0.18,0.045
435,7.25,7.07,431.1634,-56.53449,0.18,0.085
436,7.266667,7.086667,430.75309,-57.86914,0.18,0.045
437,7.283333,7.103333,432.25367,-56.15928,0.18,0.045
438,7.3,7.12,428.26098,-47.60509,0.18,0.045
439,7.316667,7.136667,425.02205,-49.30977,0.18,0.045
440,7.333333,7.153333,424.97938,-52.41174,0.18,0.045
441,7.35,7.17,425.97214,-55.50611,0.18,0.045
442,7.366667,7.186667,421.81482,-55.51612,0.18,0.045
443,7.383333,7.203333,426.39985,-57.34612,0.18,0.045
444,7.4,7.22,421.34965,-59.13014,0.18,0.045
445,7.416667,7.236667,422.86256,-58.38861,0.18,0.045
446,7.433333,7.253333,423.10362,-53.67234,0.18,0.045
447,7.45,7.27,420.93055,-58.69749,0.18,0.045
448,7.466667,7.286667,418.98851,-55.9084,0.18,0.045
449,7.483333,7.303333,419.5528,-56.96253,0.18,0.045
450,7.5,7.32,417.89438,-52.04408,0.18,0.045
451,7.516667,7.336667,416.42267,-51.11917,0.18,0.045
452,7.533333,7.353333,413.84744,-52.67194,0.18,0.045
453,7.55,7.37,414.88016,-56.59303,0.18,0.045
454,7.566667,7.386667,411.91832,-58.05935,0.18,0.045
455,7.583333,7.403333,412.24728,-51.90326,0.18,0.045
456,7.6,7.42,413.15251,-52.71883,0.18,0.045
457,7.616667,7.436667,412.17646,-50.7824,0.18,0.045
458,7.633333,7.453333,412.93518,-53.66381,0.18,0.045
459,7.65,7.47,408.71083,-57.04981,0.18,0.045
460,7.666667,7.486667,407.30613,-55.56819,0.18,0.045
461,7.683333,7.503333,405.20752,-52.34737,0.18,0.045
462,7.7,7.52,407.18055,-59.76501,0.18,0.045
463,7.716667,7.536667,405.07867,-60.11417,0.18,0.045
464,7.733333,7.553333,407.56615,-52.42001,0.18,0.085
465,7.75,7.57,405.0647,-50.16434,0.18,0.045
