frame,timestamp,observation_id,x_px,y_px,score,color,measurement_valid
27,0.9,candidate_0,317.5147,251.4654,0.86,red,1
27,0.9,candidate_1,402.2714,252.0136,0.72,red,1
28,0.933333,candidate_0,320.4366,250.8881,0.86,red,1
28,0.933333,candidate_1,401.9402,247.6242,0.72,red,1
29,0.966667,candidate_0,323.5227,252.1125,0.86,red,1
29,0.966667,candidate_1,401.0319,247.3302,0.72,red,1
30,1.0,candidate_0,325.7258,252.4315,0.86,red,1
30,1.0,candidate_1,397.2522,247.4397,0.72,red,1
31,1.033333,candidate_0,326.4435,251.8793,0.86,red,1
31,1.033333,candidate_1,396.3331,242.2898,0.72,red,1
32,1.066667,candidate_0,330.9951,252.3284,0.86,red,1
32,1.066667,candidate_1,394.9783,244.4629,0.72,red,1
33,1.1,candidate_0,330.2659,252.3252,0.86,red,1
33,1.1,candidate_1,393.1767,238.0312,0.72,red,1
33,1.1,candidate_2,90.0524,385.1888,0.65,blue,1
34,1.133333,candidate_0,332.3811,252.8071,0.86,red,1
34,1.133333,candidate_1,393.4547,238.1756,0.91,red,1
35,1.166667,candidate_0,334.8713,253.9591,0.86,red,1
35,1.166667,candidate_1,396.4332,237.3384,0.72,red,1
36,1.2,candidate_0,336.3004,252.4522,0.86,red,1
36,1.2,candidate_1,393.0167,232.772,0.72,red,1
37,1.233333,candidate_0,339.1377,253.566,0.86,red,1
37,1.233333,candidate_1,393.4848,230.0578,0.72,red,1
38,1.266667,candidate_0,340.9246,251.8275,0.86,red,1
38,1.266667,candidate_1,394.3897,229.4016,0.72,red,1
39,1.3,candidate_0,341.1828,254.1475,0.86,red,1
39,1.3,candidate_1,392.0937,222.6984,0.72,red,1
40,1.333333,candidate_0,342.9243,256.167,0.86,red,1
40,1.333333,candidate_1,396.314,224.212,0.72,red,1
41,1.366667,candidate_0,343.9495,254.4178,0.86,red,1
41,1.366667,candidate_1,392.3876,219.6886,0.72,red,1
42,1.4,candidate_0,346.792,253.5967,0.86,red,1
42,1.4,candidate_1,386.8964,218.1523,0.72,red,1
43,1.433333,candidate_0,349.5815,255.5399,0.86,red,1
43,1.433333,candidate_1,389.0875,214.9038,0.72,red,1
44,1.466667,candidate_0,349.8495,254.9719,0.86,red,1
44,1.466667,candidate_1,389.1387,213.487,0.72,red,1
44,1.466667,candidate_2,95.7245,391.6869,0.65,blue,1
45,1.5,candidate_0,352.311,257.2938,0.86,red,1
45,1.5,candidate_1,388.2025,210.0248,0.72,red,1
46,1.533333,candidate_0,355.6213,254.5655,0.86,red,1
46,1.533333,candidate_1,388.2934,206.0954,0.72,red,1
47,1.566667,candidate_0,356.7726,255.3502,0.86,red,1
47,1.566667,candidate_1,385.0385,201.523,0.72,red,1
48,1.6,candidate_0,356.2614,255.6937,0.86,red,1
48,1.6,candidate_1,383.4198,201.1462,0.72,red,1
49,1.633333,candidate_0,359.8154,256.6672,0.86,red,1
49,1.633333,candidate_1,382.875,199.8408,0.72,red,1
50,1.666667,candidate_0,362.2034,257.5922,0.86,red,1
50,1.666667,candidate_1,384.8251,193.8646,0.72,red,1
51,1.7,candidate_0,363.7644,254.0936,0.86,red,1
51,1.7,candidate_1,383.8415,195.8521,0.91,red,1
52,1.733333,candidate_0,365.2981,257.3286,0.86,red,1
52,1.733333,candidate_1,382.0772,194.0627,0.72,red,1
53,1.766667,candidate_0,367.0124,254.7746,0.86,red,1
53,1.766667,candidate_1,378.4624,191.7999,0.72,red,1
54,1.8,candidate_0,367.8091,256.3139,0.86,red,1
54,1.8,candidate_1,380.7627,190.4423,0.72,red,1
55,1.833333,candidate_0,369.8079,257.1733,0.86,red,1
55,1.833333,candidate_1,381.2775,188.5323,0.72,red,1
55,1.833333,candidate_2,96.5771,389.0549,0.65,blue,1
56,1.866667,candidate_0,371.011,256.4841,0.86,red,1
56,1.866667,candidate_1,381.7174,190.7319,0.72,red,1
57,1.9,candidate_0,374.6505,255.7911,0.86,red,1
57,1.9,candidate_1,384.0268,188.897,0.72,red,1
58,1.933333,candidate_0,375.7781,257.3581,0.86,red,1
58,1.933333,candidate_1,379.9185,184.343,0.72,red,1
59,1.966667,candidate_0,378.965,253.1935,0.86,red,1
59,1.966667,candidate_1,378.0376,187.1582,0.72,red,1
60,2.0,candidate_0,378.9861,256.6524,0.86,red,1
60,2.0,candidate_1,376.3563,185.9135,0.72,red,1
61,2.033333,candidate_0,383.9056,254.3572,0.86,red,1
61,2.033333,candidate_1,377.1624,184.4726,0.72,red,1
62,2.066667,candidate_0,384.6252,256.285,0.86,red,1
62,2.066667,candidate_1,376.1771,184.391,0.72,red,1
63,2.1,candidate_0,384.3849,256.2987,0.86,red,1
63,2.1,candidate_1,378.4861,183.3436,0.72,red,1
64,2.133333,candidate_0,386.048,254.9097,0.86,red,1
64,2.133333,candidate_1,375.4973,185.0129,0.72,red,1
65,2.166667,candidate_0,390.4177,255.6162,0.86,red,1
65,2.166667,candidate_1,375.1013,187.64,0.72,red,1
66,2.2,candidate_0,390.7417,253.9701,0.86,red,1
66,2.2,candidate_1,373.1018,186.8481,0.72,red,1
66,2.2,candidate_2,91.5449,388.1211,0.65,blue,1
67,2.233333,candidate_0,392.9663,254.2911,0.86,red,1
67,2.233333,candidate_1,369.6855,188.6651,0.72,red,1
68,2.266667,candidate_0,393.8817,252.0526,0.86,red,1
68,2.266667,candidate_1,372.6166,187.6794,0.91,red,1
69,2.3,candidate_0,398.999,253.4488,0.86,red,1
69,2.3,candidate_1,373.6253,190.0451,0.72,red,1
70,2.333333,candidate_0,395.8379,253.7238,0.86,red,1
70,2.333333,candidate_1,369.1652,192.0544,0.72,red,1
71,2.366667,candidate_0,404.007,251.8629,0.86,red,1
71,2.366667,candidate_1,368.1806,194.8649,0.72,red,1
72,2.4,candidate_0,401.722,251.1657,0.86,red,1
72,2.4,candidate_1,372.2315,194.186,0.72,red,1
73,2.433333,candidate_0,405.7015,251.6054,0.86,red,1
73,2.433333,candidate_1,370.0462,198.0602,0.72,red,1
74,2.466667,candidate_0,403.6889,251.3599,0.86,red,1
74,2.466667,candidate_1,366.6023,201.8895,0.72,red,1
75,2.5,candidate_0,408.0058,251.0912,0.86,red,1
75,2.5,candidate_1,369.7231,202.3183,0.72,red,1
76,2.533333,candidate_0,410.2726,253.0854,0.86,red,1
76,2.533333,candidate_1,361.4255,204.3503,0.72,red,1
77,2.566667,candidate_0,411.9899,251.1975,0.86,red,1
77,2.566667,candidate_1,362.4947,204.2838,0.72,red,1
77,2.566667,candidate_2,95.8585,397.0571,0.65,blue,1
78,2.6,candidate_0,411.0516,251.2346,0.86,red,1
78,2.6,candidate_1,363.7963,211.659,0.72,red,1
79,2.633333,candidate_0,414.6719,250.4219,0.86,red,1
79,2.633333,candidate_1,362.2971,212.9376,0.72,red,1
80,2.666667,candidate_0,416.7622,250.4381,0.86,red,1
80,2.666667,candidate_1,365.7789,215.5467,0.72,red,1
81,2.7,candidate_0,417.1638,249.0283,0.86,red,1
81,2.7,candidate_1,366.9944,214.9223,0.72,red,1
82,2.733333,candidate_0,417.4015,249.1391,0.86,red,1
82,2.733333,candidate_1,364.4581,223.4618,0.72,red,1
83,2.766667,candidate_0,422.0509,249.7942,0.86,red,1
83,2.766667,candidate_1,361.7245,224.2465,0.72,red,1
84,2.8,candidate_0,424.4208,247.8088,0.86,red,1
84,2.8,candidate_1,358.8492,230.7627,0.72,red,1
85,2.833333,candidate_0,426.8462,247.3501,0.86,red,1
85,2.833333,candidate_1,358.9768,230.3887,0.91,red,1
86,2.866667,candidate_0,426.9671,249.1311,0.86,red,1
86,2.866667,candidate_1,357.6182,229.9203,0.72,red,1
87,2.9,candidate_0,429.107,244.0432,0.86,red,1
87,2.9,candidate_1,357.8298,232.1325,0.72,red,1
88,2.933333,candidate_0,431.1002,246.6254,0.86,red,1
88,2.933333,candidate_1,358.0719,233.8278,0.72,red,1
88,2.933333,candidate_2,92.8445,384.2355,0.65,blue,1
89,2.966667,candidate_0,432.7861,245.5379,0.86,red,1
89,2.966667,candidate_1,357.4645,239.621,0.72,red,1
90,3.0,candidate_0,433.9551,247.1463,0.86,red,1
90,3.0,candidate_1,356.6089,242.0541,0.72,red,1
91,3.033333,candidate_0,438.638,245.7022,0.86,red,1
91,3.033333,candidate_1,355.1916,242.2256,0.72,red,1
92,3.066667,candidate_0,438.603,244.4009,0.86,red,1
92,3.066667,candidate_1,359.4684,246.9793,0.72,red,1
93,3.1,candidate_0,440.7622,243.5957,0.86,red,1
93,3.1,candidate_1,353.5252,247.4618,0.72,red,1
94,3.133333,candidate_0,441.7156,244.9811,0.86,red,1
94,3.133333,candidate_1,351.7722,246.0114,0.72,red,1
95,3.166667,candidate_0,442.2054,244.7706,0.86,red,1
95,3.166667,candidate_1,356.9303,251.8765,0.72,red,1
96,3.2,candidate_0,443.4902,242.9959,0.86,red,1
96,3.2,candidate_1,351.3153,251.5121,0.72,red,1
97,3.233333,candidate_0,447.7242,245.2799,0.86,red,1
97,3.233333,candidate_1,350.4397,251.5608,0.72,red,1
98,3.266667,candidate_0,451.9445,240.4367,0.86,red,1
98,3.266667,candidate_1,352.7211,254.1756,0.72,red,1
99,3.3,candidate_0,450.6062,240.2756,0.86,red,1
99,3.3,candidate_1,348.848,255.0464,0.72,red,1
99,3.3,candidate_2,93.613,389.7918,0.65,blue,1
100,3.333333,candidate_0,451.9597,241.639,0.86,red,1
100,3.333333,candidate_1,350.2354,254.5884,0.72,red,1
101,3.366667,candidate_0,456.7359,240.6973,0.86,red,1
101,3.366667,candidate_1,354.3251,254.183,0.72,red,1
102,3.4,candidate_0,456.8596,238.7103,0.86,red,1
102,3.4,candidate_1,348.1216,254.9587,0.91,red,1
103,3.433333,candidate_0,456.0904,238.2347,0.86,red,1
103,3.433333,candidate_1,347.5237,254.3045,0.72,red,1
104,3.466667,candidate_0,459.6847,240.2288,0.86,red,1
104,3.466667,candidate_1,345.5578,254.3352,0.72,red,1
105,3.5,candidate_0,463.5888,236.9603,0.86,red,1
105,3.5,candidate_1,345.9061,255.3575,0.72,red,1
106,3.533333,candidate_0,462.372,240.2393,0.86,red,1
106,3.533333,candidate_1,346.5092,252.003,0.72,red,1
107,3.566667,candidate_0,463.3664,237.714,0.86,red,1
107,3.566667,candidate_1,343.8167,253.3796,0.72,red,1
108,3.6,candidate_0,468.7829,234.7678,0.86,red,1
108,3.6,candidate_1,344.4131,252.7304,0.72,red,1
109,3.633333,candidate_0,467.7397,237.0041,0.86,red,1
109,3.633333,candidate_1,347.5216,248.8697,0.72,red,1
110,3.666667,candidate_0,471.937,236.9818,0.86,red,1
110,3.666667,candidate_1,342.5078,247.9444,0.72,red,1
110,3.666667,candidate_2,86.7923,385.115,0.65,blue,1
111,3.7,candidate_0,472.7103,234.8051,0.86,red,1
111,3.7,candidate_1,342.2628,246.2471,0.72,red,1
112,3.733333,candidate_0,473.9345,234.3542,0.86,red,1
112,3.733333,candidate_1,341.6602,246.0513,0.72,red,1
113,3.766667,candidate_0,477.4785,232.6289,0.86,red,1
113,3.766667,candidate_1,339.7335,241.7,0.72,red,1
114,3.8,candidate_0,479.2519,232.0472,0.86,red,1
114,3.8,candidate_1,341.7581,241.3001,0.72,red,1
115,3.833333,candidate_0,479.7112,233.5788,0.86,red,1
115,3.833333,candidate_1,338.1338,238.7744,0.72,red,1
116,3.866667,candidate_0,483.9297,231.1781,0.86,red,1
116,3.866667,candidate_1,337.4767,235.2001,0.72,red,1
117,3.9,candidate_0,483.0028,231.7154,0.86,red,1
117,3.9,candidate_1,338.051,234.9538,0.72,red,1
118,3.933333,candidate_0,484.705,230.565,0.86,red,1
118,3.933333,candidate_1,339.1843,229.616,0.72,red,1
119,3.966667,candidate_0,488.7793,230.7883,0.86,red,1
119,3.966667,candidate_1,332.4651,227.8187,0.91,red,1
120,4.0,candidate_1,349.2881,317.8409,0.8,red,1
120,4.0,candidate_2,87.1851,388.6156,0.65,blue,1
121,4.033333,candidate_1,350.3669,317.1971,0.8,red,1
121,4.033333,candidate_2,87.1386,385.9264,0.65,blue,1
122,4.066667,candidate_1,352.8485,316.3089,0.8,red,1
122,4.066667,candidate_2,88.492,393.5253,0.65,blue,1
123,4.1,candidate_1,349.7589,320.2301,0.8,red,1
123,4.1,candidate_2,89.6545,394.1555,0.65,blue,1
124,4.133333,candidate_1,349.8571,316.0549,0.8,red,1
124,4.133333,candidate_2,97.2853,396.8294,0.65,blue,1
125,4.166667,candidate_1,351.4007,320.9088,0.8,red,1
125,4.166667,candidate_2,93.5296,391.5714,0.65,blue,1
126,4.2,candidate_1,355.9144,323.1515,0.8,red,1
126,4.2,candidate_2,84.8856,396.0916,0.65,blue,1
127,4.233333,candidate_1,357.6414,321.5937,0.8,red,1
127,4.233333,candidate_2,85.2607,385.6031,0.65,blue,1
128,4.266667,candidate_1,356.2696,322.5258,0.8,red,1
128,4.266667,candidate_2,88.2507,385.0402,0.65,blue,1
129,4.3,candidate_1,357.5853,320.8428,0.8,red,1
129,4.3,candidate_2,85.3004,390.0477,0.65,blue,1
130,4.333333,candidate_1,359.4643,323.6878,0.8,red,1
130,4.333333,candidate_2,84.1196,394.0787,0.65,blue,1
131,4.366667,candidate_1,359.9456,320.6507,0.8,red,1
131,4.366667,candidate_2,88.3165,385.953,0.65,blue,1
132,4.4,candidate_1,360.0708,316.5352,0.8,red,1
132,4.4,candidate_2,87.7992,396.2127,0.65,blue,1
133,4.433333,candidate_1,365.1412,318.5033,0.8,red,1
133,4.433333,candidate_2,94.0256,385.8483,0.65,blue,1
134,4.466667,candidate_1,366.341,315.4332,0.8,red,1
134,4.466667,candidate_2,82.4396,387.2782,0.65,blue,1
135,4.5,candidate_1,364.0105,313.3986,0.8,red,1
135,4.5,candidate_2,86.0744,394.5617,0.65,blue,1
136,4.533333,candidate_1,365.3378,315.0562,0.8,red,1
136,4.533333,candidate_2,87.5064,388.364,0.65,blue,1
137,4.566667,candidate_1,366.7034,309.6278,0.8,red,1
137,4.566667,candidate_2,93.8852,389.2366,0.65,blue,1
138,4.6,candidate_1,370.3261,311.2033,0.8,red,1
138,4.6,candidate_2,90.6383,382.8451,0.65,blue,1
139,4.633333,candidate_1,370.7322,305.4558,0.8,red,1
139,4.633333,candidate_2,88.8267,390.4051,0.65,blue,1
140,4.666667,candidate_1,373.7826,304.3155,0.8,red,1
140,4.666667,candidate_2,86.2908,390.7722,0.65,blue,1
141,4.7,candidate_1,369.9768,300.171,0.8,red,1
141,4.7,candidate_2,86.3003,388.3937,0.65,blue,1
142,4.733333,candidate_1,372.2015,298.0117,0.8,red,1
142,4.733333,candidate_2,95.1496,397.526,0.65,blue,1
143,4.766667,candidate_1,375.2031,294.9568,0.8,red,1
143,4.766667,candidate_2,94.9866,385.438,0.65,blue,1
144,4.8,candidate_1,375.3527,292.5129,0.8,red,1
144,4.8,candidate_2,84.5493,387.5693,0.65,blue,1
145,4.833333,candidate_1,375.3315,289.0038,0.8,red,1
145,4.833333,candidate_2,82.1929,382.9587,0.65,blue,1
146,4.866667,candidate_1,376.7447,288.9575,0.8,red,1
146,4.866667,candidate_2,92.874,385.0287,0.65,blue,1
147,4.9,candidate_1,380.085,286.3934,0.8,red,1
147,4.9,candidate_2,82.5632,384.5606,0.65,blue,1
148,4.933333,candidate_1,378.3436,284.8064,0.8,red,1
148,4.933333,candidate_2,94.6061,395.4122,0.65,blue,1
149,4.966667,candidate_1,380.3632,288.1726,0.8,red,1
149,4.966667,candidate_2,82.5246,390.8902,0.65,blue,1
150,5.0,candidate_0,490.7614,242.4228,0.86,red,1
150,5.0,candidate_1,381.2108,283.4749,0.8,red,1
151,5.033333,candidate_0,489.8265,241.1515,0.86,red,1
151,5.033333,candidate_1,382.3318,279.6484,0.8,red,1
152,5.066667,candidate_0,486.429,240.6802,0.86,red,1
152,5.066667,candidate_1,380.6902,278.1804,0.8,red,1
153,5.1,candidate_0,485.109,240.2613,0.86,red,1
153,5.1,candidate_1,385.3687,282.0222,0.8,red,1
154,5.133333,candidate_0,482.3373,241.0486,0.86,red,1
154,5.133333,candidate_1,388.7394,279.1388,0.8,red,1
154,5.133333,candidate_2,93.3699,383.5737,0.65,blue,1
155,5.166667,candidate_0,485.1341,238.924,0.86,red,1
155,5.166667,candidate_1,387.9184,280.3667,0.8,red,1
156,5.2,candidate_0,481.2416,239.3297,0.86,red,1
156,5.2,candidate_1,390.0736,277.574,0.8,red,1
157,5.233333,candidate_0,479.2777,237.9395,0.86,red,1
157,5.233333,candidate_1,390.3714,277.4972,0.8,red,1
158,5.266667,candidate_0,479.5771,237.6747,0.86,red,1
158,5.266667,candidate_1,394.2462,275.6439,0.8,red,1
159,5.3,candidate_0,478.3051,238.2934,0.86,red,1
159,5.3,candidate_1,394.4096,279.7217,0.8,red,1
160,5.333333,candidate_0,477.1207,235.4382,0.86,red,1
160,5.333333,candidate_1,392.7068,278.3243,0.8,red,1
161,5.366667,candidate_0,473.8496,236.3354,0.86,red,1
161,5.366667,candidate_1,396.5912,280.6263,0.8,red,1
162,5.4,candidate_0,474.7496,234.8147,0.86,red,1
162,5.4,candidate_1,395.942,283.8515,0.8,red,1
163,5.433333,candidate_0,473.099,235.4864,0.86,red,1
163,5.433333,candidate_1,396.2018,285.1822,0.8,red,1
164,5.466667,candidate_0,471.3114,235.0487,0.86,red,1
164,5.466667,candidate_1,398.2829,288.6291,0.8,red,1
165,5.5,candidate_0,467.9491,235.0767,0.86,red,1
165,5.5,candidate_1,398.8456,289.1304,0.8,red,1
165,5.5,candidate_2,90.4666,397.0843,0.65,blue,1
166,5.533333,candidate_0,468.0084,231.9621,0.86,red,1
166,5.533333,candidate_1,402.488,294.7004,0.8,red,1
167,5.566667,candidate_0,465.8662,233.5026,0.86,red,1
167,5.566667,candidate_1,403.877,293.474,0.8,red,1
168,5.6,candidate_0,466.034,234.7915,0.86,red,1
168,5.6,candidate_1,402.3982,297.6895,0.8,red,1
169,5.633333,candidate_0,463.2963,233.4199,0.86,red,1
169,5.633333,candidate_1,402.9009,296.2003,0.8,red,1
170,5.666667,candidate_0,459.5065,234.4484,0.86,red,1
170,5.666667,candidate_1,404.7675,301.563,0.8,red,1
171,5.7,candidate_0,460.8887,232.7746,0.86,red,1
171,5.7,candidate_1,407.2414,302.9606,0.8,red,1
172,5.733333,candidate_0,460.2522,232.1391,0.86,red,1
172,5.733333,candidate_1,409.0795,304.526,0.8,red,1
173,5.766667,candidate_0,455.3418,231.697,0.86,red,1
173,5.766667,candidate_1,410.2658,308.0843,0.8,red,1
174,5.8,candidate_0,456.409,232.9409,0.86,red,1
174,5.8,candidate_1,411.7408,309.3586,0.8,red,1
175,5.833333,candidate_0,454.7019,231.2697,0.86,red,1
175,5.833333,candidate_1,410.1738,311.7448,0.8,red,1
176,5.866667,candidate_0,453.3209,227.7659,0.86,red,1
176,5.866667,candidate_1,410.1201,316.6454,0.8,red,1
176,5.866667,candidate_2,94.3449,394.5506,0.65,blue,1
177,5.9,candidate_0,452.5716,228.8306,0.86,red,1
177,5.9,candidate_1,412.5891,317.4965,0.8,red,1
178,5.933333,candidate_0,452.2332,229.8533,0.86,red,1
178,5.933333,candidate_1,414.6327,321.3814,0.8,red,1
179,5.966667,candidate_0,450.4813,227.1779,0.86,red,1
179,5.966667,candidate_1,413.0606,316.2264,0.8,red,1
180,6.0,candidate_0,449.6052,231.6425,0.86,red,1
180,6.0,candidate_1,416.6214,320.5065,0.8,red,1
181,6.033333,candidate_0,447.0054,229.9421,0.86,red,1
181,6.033333,candidate_1,419.7192,322.9545,0.8,red,1
182,6.066667,candidate_0,444.6038,231.047,0.86,red,1
182,6.066667,candidate_1,421.2842,322.0532,0.8,red,1
183,6.1,candidate_0,443.6798,229.8334,0.86,red,1
183,6.1,candidate_1,422.3619,322.0213,0.8,red,1
184,6.133333,candidate_0,442.4768,228.5769,0.86,red,1
184,6.133333,candidate_1,422.3179,319.6377,0.8,red,1
185,6.166667,candidate_0,440.3891,227.841,0.86,red,1
185,6.166667,candidate_1,421.841,321.6236,0.8,red,1
186,6.2,candidate_0,438.4731,227.7686,0.86,red,1
186,6.2,candidate_1,423.9478,323.23,0.8,red,1
187,6.233333,candidate_0,438.3038,228.3716,0.86,red,1
187,6.233333,candidate_1,423.7079,319.3269,0.8,red,1
187,6.233333,candidate_2,95.0796,388.8644,0.65,blue,1
188,6.266667,candidate_0,436.5597,225.5501,0.86,red,1
188,6.266667,candidate_1,426.2741,321.8275,0.8,red,1
189,6.3,candidate_0,435.1634,226.3783,0.86,red,1
189,6.3,candidate_1,425.2917,322.2348,0.8,red,1
190,6.333333,candidate_0,436.2648,225.5065,0.86,red,1
190,6.333333,candidate_1,430.3164,316.9743,0.8,red,1
191,6.366667,candidate_0,431.8918,227.2301,0.86,red,1
191,6.366667,candidate_1,431.5812,315.8495,0.8,red,1
192,6.4,candidate_0,430.0934,226.1724,0.86,red,1
192,6.4,candidate_1,428.8207,310.7577,0.8,red,1
193,6.433333,candidate_0,429.921,227.1671,0.86,red,1
193,6.433333,candidate_1,431.8664,315.8764,0.8,red,1
194,6.466667,candidate_0,430.0658,227.8439,0.86,red,1
194,6.466667,candidate_1,428.9538,308.021,0.8,red,1
195,6.5,candidate_0,426.7065,225.2803,0.86,red,1
195,6.5,candidate_1,435.4608,304.1528,0.8,red,1
196,6.533333,candidate_0,422.9693,226.4756,0.86,red,1
196,6.533333,candidate_1,435.0166,306.4947,0.8,red,1
197,6.566667,candidate_0,427.5577,226.3102,0.86,red,1
197,6.566667,candidate_1,436.8304,304.1122,0.8,red,1
198,6.6,candidate_0,424.7142,226.6493,0.86,red,1
198,6.6,candidate_1,438.8932,300.7576,0.8,red,1
198,6.6,candidate_2,95.1355,388.4832,0.65,blue,1
199,6.633333,candidate_0,421.5557,226.0431,0.86,red,1
199,6.633333,candidate_1,439.9923,297.3897,0.8,red,1
200,6.666667,candidate_0,419.6865,227.0141,0.86,red,1
200,6.666667,candidate_1,436.1803,294.2695,0.8,red,1
201,6.7,candidate_0,418.1883,223.2268,0.86,red,1
201,6.7,candidate_1,442.0247,293.2537,0.8,red,1
202,6.733333,candidate_0,417.1794,226.0332,0.86,red,1
202,6.733333,candidate_1,441.4338,292.3698,0.8,red,1
203,6.766667,candidate_0,415.5238,225.336,0.86,red,1
203,6.766667,candidate_1,440.1004,288.5179,0.8,red,1
204,6.8,candidate_0,413.1953,225.6733,0.86,red,1
204,6.8,candidate_1,446.0835,288.3075,0.8,red,1
205,6.833333,candidate_0,412.9823,225.7261,0.86,red,1
205,6.833333,candidate_1,447.0675,279.9829,0.8,red,1
206,6.866667,candidate_0,411.6751,225.7064,0.86,red,1
206,6.866667,candidate_1,447.5129,279.3363,0.8,red,1
207,6.9,candidate_0,410.5004,224.446,0.86,red,1
207,6.9,candidate_1,447.281,282.7784,0.8,red,1
208,6.933333,candidate_0,409.5441,225.697,0.86,red,1
208,6.933333,candidate_1,447.8646,280.3481,0.8,red,1
209,6.966667,candidate_0,405.1029,226.3199,0.86,red,1
209,6.966667,candidate_1,449.6288,282.0709,0.8,red,1
209,6.966667,candidate_2,97.9493,390.4622,0.65,blue,1
210,7.0,candidate_0,407.298,225.6155,0.86,red,1
210,7.0,candidate_1,449.3382,277.3178,0.8,red,1
211,7.033333,candidate_0,403.3304,226.5982,0.86,red,1
211,7.033333,candidate_1,451.9135,279.3846,0.8,red,1
212,7.066667,candidate_0,403.7089,224.3522,0.86,red,1
212,7.066667,candidate_1,452.9039,275.9408,0.8,red,1
213,7.1,candidate_0,400.7229,225.6942,0.86,red,1
213,7.1,candidate_1,458.7108,277.3627,0.8,red,1
214,7.133333,candidate_0,401.8558,226.8669,0.86,red,1
214,7.133333,candidate_1,452.6187,278.4074,0.8,red,1
215,7.166667,candidate_0,397.5068,228.2925,0.86,red,1
215,7.166667,candidate_1,459.5278,278.0885,0.8,red,1
216,7.2,candidate_0,396.9353,227.4578,0.86,red,1
216,7.2,candidate_1,458.5537,280.1777,0.8,red,1
217,7.233333,candidate_0,396.2012,228.9675,0.86,red,1
217,7.233333,candidate_1,460.2299,284.7386,0.8,red,1
218,7.266667,candidate_0,393.9656,228.2183,0.86,red,1
218,7.266667,candidate_1,461.8162,282.052,0.8,red,1
